path1_bw,path1_loss,path1_delay,path2_bw,path2_loss,path2_delay,scheduler_name,no_of_itr,file_size,time,p1_data,p2_data
FBCHeRa,0.1%,FBCHeRa,FBCHeRa,0.1%,FBCHeRa_1,pumar,50,64MB,14.3171,42152,24644
FBCHeRa,0.1%,FBCHeRa,FBCHeRa,0.1%,FBCHeRa_1,pumar,50,64MB,18.8519,51824,14936
FBCHeRa,0.1%,FBCHeRa,FBCHeRa,0.1%,FBCHeRa_1,pumar,50,64MB,13.5881,48308,18464
FBCHeRa,0.1%,FBCHeRa,FBCHeRa,0.1%,FBCHeRa_1,pumar,50,64MB,17.981,50596,16164
FBCHeRa,0.1%,FBCHeRa,FBCHeRa,0.1%,FBCHeRa_1,pumar,50,64MB,15.4899,48576,18188
FBCHeRa,0.1%,FBCHeRa,FBCHeRa,0.1%,FBCHeRa_1,pumar,50,64MB,15.1784,53356,13404
FBCHeRa,0.1%,FBCHeRa,FBCHeRa,0.1%,FBCHeRa_1,pumar,50,64MB,13.0616,40640,26272
FBCHeRa,0.1%,FBCHeRa,FBCHeRa,0.1%,FBCHeRa_1,pumar,50,64MB,12.7578,47788,18980
FBCHeRa,0.1%,FBCHeRa,FBCHeRa,0.1%,FBCHeRa_1,pumar,50,64MB,12.4008,34268,32512
FBCHeRa,0.1%,FBCHeRa,FBCHeRa,0.1%,FBCHeRa_1,pumar,50,64MB,11.4055,42256,24556
FBCHeRa,0.1%,FBCHeRa,FBCHeRa,0.1%,FBCHeRa_1,pumar,50,64MB,17.3835,53740,13016
FBCHeRa,0.1%,FBCHeRa,FBCHeRa,0.1%,FBCHeRa_1,pumar,50,64MB,12.5825,50204,16560
FBCHeRa,0.1%,FBCHeRa,FBCHeRa,0.1%,FBCHeRa_1,pumar,50,64MB,17.729,53352,13404
FBCHeRa,0.1%,FBCHeRa,FBCHeRa,0.1%,FBCHeRa_1,pumar,50,64MB,13.9639,58684,8076
FBCHeRa,0.1%,FBCHeRa,FBCHeRa,0.1%,FBCHeRa_1,pumar,50,64MB,16.1369,52904,13860
FBCHeRa,0.1%,FBCHeRa,FBCHeRa,0.1%,FBCHeRa_1,pumar,50,64MB,12.5204,47960,18828
FBCHeRa,0.1%,FBCHeRa,FBCHeRa,0.1%,FBCHeRa_1,pumar,50,64MB,17.6059,54908,11848
FBCHeRa,0.1%,FBCHeRa,FBCHeRa,0.1%,FBCHeRa_1,pumar,50,64MB,16.009,40580,26192
FBCHeRa,0.1%,FBCHeRa,FBCHeRa,0.1%,FBCHeRa_1,pumar,50,64MB,14.519,51416,15356
FBCHeRa,0.1%,FBCHeRa,FBCHeRa,0.1%,FBCHeRa_1,pumar,50,64MB,17.1701,55376,11388
FBCHeRa,0.1%,FBCHeRa,FBCHeRa,0.1%,FBCHeRa_1,pumar,50,64MB,13.6445,47164,19616
FBCHeRa,0.1%,FBCHeRa,FBCHeRa,0.1%,FBCHeRa_1,pumar,50,64MB,15.0333,52136,14624
FBCHeRa,0.1%,FBCHeRa,FBCHeRa,0.1%,FBCHeRa_1,pumar,50,64MB,14.4961,52716,14044
FBCHeRa,0.1%,FBCHeRa,FBCHeRa,0.1%,FBCHeRa_1,pumar,50,64MB,13.0183,34164,32612
FBCHeRa,0.1%,FBCHeRa,FBCHeRa,0.1%,FBCHeRa_1,pumar,50,64MB,18.217,51980,14784
FBCHeRa,0.1%,FBCHeRa,FBCHeRa,0.1%,FBCHeRa_1,pumar,50,64MB,13.8079,51292,15476
FBCHeRa,0.1%,FBCHeRa,FBCHeRa,0.1%,FBCHeRa_1,pumar,50,64MB,12.5904,39320,27464
FBCHeRa,0.1%,FBCHeRa,FBCHeRa,0.1%,FBCHeRa_1,pumar,50,64MB,13.642,44316,22464
FBCHeRa,0.1%,FBCHeRa,FBCHeRa,0.1%,FBCHeRa_1,pumar,50,64MB,11.9748,31980,34808
FBCHeRa,0.1%,FBCHeRa,FBCHeRa,0.1%,FBCHeRa_1,pumar,50,64MB,14.8989,46676,20100
FBCHeRa,0.1%,FBCHeRa,FBCHeRa,0.1%,FBCHeRa_1,pumar,50,64MB,14.1619,49724,17044
FBCHeRa,0.1%,FBCHeRa,FBCHeRa,0.1%,FBCHeRa_1,pumar,50,64MB,19.1987,55120,11644
FBCHeRa,0.1%,FBCHeRa,FBCHeRa,0.1%,FBCHeRa_1,pumar,50,64MB,16.6286,53312,13444
FBCHeRa,0.1%,FBCHeRa,FBCHeRa,0.1%,FBCHeRa_1,pumar,50,64MB,12.1097,46408,20368
FBCHeRa,0.1%,FBCHeRa,FBCHeRa,0.1%,FBCHeRa_1,pumar,50,64MB,15.3665,56484,10284
FBCHeRa,0.1%,FBCHeRa,FBCHeRa,0.1%,FBCHeRa_1,pumar,50,64MB,14.4106,35060,31716
FBCHeRa,0.1%,FBCHeRa,FBCHeRa,0.1%,FBCHeRa_1,pumar,50,64MB,18.0708,53604,13156
FBCHeRa,0.1%,FBCHeRa,FBCHeRa,0.1%,FBCHeRa_1,pumar,50,64MB,18.0172,51584,15184
FBCHeRa,0.1%,FBCHeRa,FBCHeRa,0.1%,FBCHeRa_1,pumar,50,64MB,15.4481,51180,15588
FBCHeRa,0.1%,FBCHeRa,FBCHeRa,0.1%,FBCHeRa_1,pumar,50,64MB,13.6003,46332,20452
FBCHeRa,0.1%,FBCHeRa,FBCHeRa,0.1%,FBCHeRa_1,pumar,50,64MB,13.7581,42792,23976
FBCHeRa,0.1%,FBCHeRa,FBCHeRa,0.1%,FBCHeRa_1,pumar,50,64MB,13.669,40132,26748
FBCHeRa,0.1%,FBCHeRa,FBCHeRa,0.1%,FBCHeRa_1,pumar,50,64MB,13.482,40132,26704
FBCHeRa,0.1%,FBCHeRa,FBCHeRa,0.1%,FBCHeRa_1,pumar,50,64MB,13.3656,47488,19304
FBCHeRa,0.1%,FBCHeRa,FBCHeRa,0.1%,FBCHeRa_1,pumar,50,64MB,12.7369,39884,26896
FBCHeRa,0.1%,FBCHeRa,FBCHeRa,0.1%,FBCHeRa_1,pumar,50,64MB,14.7927,39824,26948
FBCHeRa,0.1%,FBCHeRa,FBCHeRa,0.1%,FBCHeRa_1,pumar,50,64MB,14.9408,49080,17692
FBCHeRa,0.1%,FBCHeRa,FBCHeRa,0.1%,FBCHeRa_1,pumar,50,64MB,12.687,41628,25156
FBCHeRa,0.1%,FBCHeRa,FBCHeRa,0.1%,FBCHeRa_1,pumar,50,64MB,18.8086,51688,15156
FBCHeRa,0.1%,FBCHeRa,FBCHeRa,0.1%,FBCHeRa_1,pumar,50,64MB,14.0238,48712,18056
FBCHeRa,0.3%,FBCHeRa,FBCHeRa,0.3%,FBCHeRa_1,pumar,50,64MB,28.1202,50004,16768
FBCHeRa,0.3%,FBCHeRa,FBCHeRa,0.3%,FBCHeRa_1,pumar,50,64MB,24.829,42752,24024
FBCHeRa,0.3%,FBCHeRa,FBCHeRa,0.3%,FBCHeRa_1,pumar,50,64MB,28.1605,53184,13588
FBCHeRa,0.3%,FBCHeRa,FBCHeRa,0.3%,FBCHeRa_1,pumar,50,64MB,27.3557,50656,16136
FBCHeRa,0.3%,FBCHeRa,FBCHeRa,0.3%,FBCHeRa_1,pumar,50,64MB,29.2825,45768,21012
FBCHeRa,0.3%,FBCHeRa,FBCHeRa,0.3%,FBCHeRa_1,pumar,50,64MB,24.4836,47664,19112
FBCHeRa,0.3%,FBCHeRa,FBCHeRa,0.3%,FBCHeRa_1,pumar,50,64MB,23.9997,49196,17584
FBCHeRa,0.3%,FBCHeRa,FBCHeRa,0.3%,FBCHeRa_1,pumar,50,64MB,29.0212,52708,14064
FBCHeRa,0.3%,FBCHeRa,FBCHeRa,0.3%,FBCHeRa_1,pumar,50,64MB,30.774,52868,13908
FBCHeRa,0.3%,FBCHeRa,FBCHeRa,0.3%,FBCHeRa_1,pumar,50,64MB,28.832,52432,14340
FBCHeRa,0.3%,FBCHeRa,FBCHeRa,0.3%,FBCHeRa_1,pumar,50,64MB,31.1303,51112,15652
FBCHeRa,0.3%,FBCHeRa,FBCHeRa,0.3%,FBCHeRa_1,pumar,50,64MB,26.1303,50032,16744
FBCHeRa,0.3%,FBCHeRa,FBCHeRa,0.3%,FBCHeRa_1,pumar,50,64MB,24.5879,46612,20164
FBCHeRa,0.3%,FBCHeRa,FBCHeRa,0.3%,FBCHeRa_1,pumar,50,64MB,30.2275,50920,15852
FBCHeRa,0.3%,FBCHeRa,FBCHeRa,0.3%,FBCHeRa_1,pumar,50,64MB,30.3736,53220,13548
FBCHeRa,0.3%,FBCHeRa,FBCHeRa,0.3%,FBCHeRa_1,pumar,50,64MB,32.0589,54364,12408
FBCHeRa,0.3%,FBCHeRa,FBCHeRa,0.3%,FBCHeRa_1,pumar,50,64MB,29.3325,51760,15024
FBCHeRa,0.3%,FBCHeRa,FBCHeRa,0.3%,FBCHeRa_1,pumar,50,64MB,31.2016,51472,15304
FBCHeRa,0.3%,FBCHeRa,FBCHeRa,0.3%,FBCHeRa_1,pumar,50,64MB,31.0558,54140,12624
FBCHeRa,0.3%,FBCHeRa,FBCHeRa,0.3%,FBCHeRa_1,pumar,50,64MB,30.0491,52612,14164
FBCHeRa,0.3%,FBCHeRa,FBCHeRa,0.3%,FBCHeRa_1,pumar,50,64MB,31.1829,52836,13936
FBCHeRa,0.3%,FBCHeRa,FBCHeRa,0.3%,FBCHeRa_1,pumar,50,64MB,33.7848,53836,12936
FBCHeRa,0.3%,FBCHeRa,FBCHeRa,0.3%,FBCHeRa_1,pumar,50,64MB,28.6955,51648,15124
FBCHeRa,0.3%,FBCHeRa,FBCHeRa,0.3%,FBCHeRa_1,pumar,50,64MB,30.98,52568,14208
FBCHeRa,0.3%,FBCHeRa,FBCHeRa,0.3%,FBCHeRa_1,pumar,50,64MB,28.1325,54176,12592
