path1_bw,path1_loss,path1_delay,path2_bw,path2_loss,path2_delay,scheduler_name,no_of_itr,file_size,time,p1_data,p2_data
FBCHeRa,0.1,FBCHeRa,FBCHeRa,0.1,FBCHeRa_1,pumar,50,64MB,14.3171,42152.0,24644.0
FBCHeRa,0.1,FBCHeRa,FBCHeRa,0.1,FBCHeRa_1,pumar,50,64MB,18.8519,51824.0,14936.0
FBCHeRa,0.1,FBCHeRa,FBCHeRa,0.1,FBCHeRa_1,pumar,50,64MB,13.5881,48308.0,18464.0
FBCHeRa,0.1,FBCHeRa,FBCHeRa,0.1,FBCHeRa_1,pumar,50,64MB,17.9810,50596.0,16164.0
FBCHeRa,0.1,FBCHeRa,FBCHeRa,0.1,FBCHeRa_1,pumar,50,64MB,15.4899,48576.0,18188.0
FBCHeRa,0.1,FBCHeRa,FBCHeRa,0.1,FBCHeRa_1,pumar,50,64MB,15.1784,53356.0,13404.0
FBCHeRa,0.1,FBCHeRa,FBCHeRa,0.1,FBCHeRa_1,pumar,50,64MB,13.0616,40640.0,26272.0
FBCHeRa,0.1,FBCHeRa,FBCHeRa,0.1,FBCHeRa_1,pumar,50,64MB,12.7578,47788.0,18980.0
FBCHeRa,0.1,FBCHeRa,FBCHeRa,0.1,FBCHeRa_1,pumar,50,64MB,12.4008,34268.0,32512.0
FBCHeRa,0.1,FBCHeRa,FBCHeRa,0.1,FBCHeRa_1,pumar,50,64MB,11.4055,42256.0,24556.0
FBCHeRa,0.1,FBCHeRa,FBCHeRa,0.1,FBCHeRa_1,pumar,50,64MB,17.3835,53740.0,13016.0
FBCHeRa,0.1,FBCHeRa,FBCHeRa,0.1,FBCHeRa_1,pumar,50,64MB,12.5825,50204.0,16560.0
FBCHeRa,0.1,FBCHeRa,FBCHeRa,0.1,FBCHeRa_1,pumar,50,64MB,17.7290,53352.0,13404.0
FBCHeRa,0.1,FBCHeRa,FBCHeRa,0.1,FBCHeRa_1,pumar,50,64MB,13.9639,58684.0,8076.0
FBCHeRa,0.1,FBCHeRa,FBCHeRa,0.1,FBCHeRa_1,pumar,50,64MB,16.1369,52904.0,13860.0
FBCHeRa,0.1,FBCHeRa,FBCHeRa,0.1,FBCHeRa_1,pumar,50,64MB,12.5204,47960.0,18828.0
FBCHeRa,0.1,FBCHeRa,FBCHeRa,0.1,FBCHeRa_1,pumar,50,64MB,17.6059,54908.0,11848.0
FBCHeRa,0.1,FBCHeRa,FBCHeRa,0.1,FBCHeRa_1,pumar,50,64MB,16.0090,40580.0,26192.0
FBCHeRa,0.1,FBCHeRa,FBCHeRa,0.1,FBCHeRa_1,pumar,50,64MB,14.5190,51416.0,15356.0
FBCHeRa,0.1,FBCHeRa,FBCHeRa,0.1,FBCHeRa_1,pumar,50,64MB,17.1701,55376.0,11388.0
FBCHeRa,0.1,FBCHeRa,FBCHeRa,0.1,FBCHeRa_1,pumar,50,64MB,13.6445,47164.0,19616.0
FBCHeRa,0.1,FBCHeRa,FBCHeRa,0.1,FBCHeRa_1,pumar,50,64MB,15.0333,52136.0,14624.0
FBCHeRa,0.1,FBCHeRa,FBCHeRa,0.1,FBCHeRa_1,pumar,50,64MB,14.4961,52716.0,14044.0
