path1_bw,path1_loss,path1_delay,path2_bw,path2_loss,path2_delay,scheduler_name,no_of_itr,file_size,time,p1_data,p2_data
POSRHeRa,0.9%,POSRHeRa,POSRHeRa,0.9%,POSRHeRa,a2c,50,64MB,61.7789,53076.0,13664.0
POSRHeRa,0.9%,POSRHeRa,POSRHeRa,0.9%,POSRHeRa,a2c,50,64MB,63.2226,53160.0,13612.0
POSRHeRa,0.9%,POSRHeRa,POSRHeRa,0.9%,POSRHeRa,a2c,50,64MB,63.6619,52716.0,14048.0
POSRHeRa,0.9%,POSRHeRa,POSRHeRa,0.9%,POSRHeRa,a2c,50,64MB,67.8173,51976.0,14808.0
POSRHeRa,0.9%,POSRHeRa,POSRHeRa,0.9%,POSRHeRa,a2c,50,64MB,65.2040,53436.0,13340.0
POSRHeRa,0.9%,POSRHeRa,POSRHeRa,0.9%,POSRHeRa,a2c,50,64MB,59.7936,52584.0,14196.0
POSRHeRa,0.9%,POSRHeRa,POSRHeRa,0.9%,POSRHeRa,a2c,50,64MB,61.4256,51312.0,15488.0
POSRHeRa,0.9%,POSRHeRa,POSRHeRa,0.9%,POSRHeRa,a2c,50,64MB,68.4931,52824.0,13952.0
POSRHeRa,0.9%,POSRHeRa,POSRHeRa,0.9%,POSRHeRa,a2c,50,64MB,63.6955,52352.0,14444.0
POSRHeRa,0.9%,POSRHeRa,POSRHeRa,0.9%,POSRHeRa,a2c,50,64MB,62.4073,52724.0,14020.0
POSRHeRa,0.9%,POSRHeRa,POSRHeRa,0.9%,POSRHeRa,a2c,50,64MB,60.5023,53568.0,13172.0
POSRHeRa,0.9%,POSRHeRa,POSRHeRa,0.9%,POSRHeRa,a2c,50,64MB,64.3405,52100.0,14688.0
POSRHeRa,0.9%,POSRHeRa,POSRHeRa,0.9%,POSRHeRa,a2c,50,64MB,63.4432,53524.0,13256.0
POSRHeRa,0.9%,POSRHeRa,POSRHeRa,0.9%,POSRHeRa,a2c,50,64MB,67.1567,52920.0,13856.0
POSRHeRa,0.9%,POSRHeRa,POSRHeRa,0.9%,POSRHeRa,a2c,50,64MB,67.0866,52432.0,14348.0
POSRHeRa,0.9%,POSRHeRa,POSRHeRa,0.9%,POSRHeRa,a2c,50,64MB,56.9210,52452.0,14320.0
POSRHeRa,0.9%,POSRHeRa,POSRHeRa,0.9%,POSRHeRa,a2c,50,64MB,65.6281,52352.0,14428.0
POSRHeRa,0.9%,POSRHeRa,POSRHeRa,0.9%,POSRHeRa,a2c,50,64MB,63.5014,51824.0,14956.0
POSRHeRa,0.9%,POSRHeRa,POSRHeRa,0.9%,POSRHeRa,a2c,50,64MB,67.3172,53076.0,13708.0
POSRHeRa,0.9%,POSRHeRa,POSRHeRa,0.9%,POSRHeRa,a2c,50,64MB,65.7297,52844.0,13904.0
POSRHeRa,0.9%,POSRHeRa,POSRHeRa,0.9%,POSRHeRa,a2c,50,64MB,60.6740,53064.0,13716.0
POSRHeRa,0.9%,POSRHeRa,POSRHeRa,0.9%,POSRHeRa,a2c,50,64MB,64.9140,53156.0,13624.0
POSRHeRa,0.9%,POSRHeRa,POSRHeRa,0.9%,POSRHeRa,a2c,50,64MB,62.0782,53988.0,12792.0
POSRHeRa,0.9%,POSRHeRa,POSRHeRa,0.9%,POSRHeRa,a2c,50,64MB,59.1121,52984.0,13792.0
POSRHeRa,0.9%,POSRHeRa,POSRHeRa,0.9%,POSRHeRa,a2c,50,64MB,64.6152,53844.0,12936.0
POSRHeRa,0.9%,POSRHeRa,POSRHeRa,0.9%,POSRHeRa,a2c,50,64MB,63.7584,52768.0,14008.0
POSRHeRa,0.9%,POSRHeRa,POSRHeRa,0.9%,POSRHeRa,a2c,50,64MB,63.5833,50340.0,16444.0
POSRHeRa,0.9%,POSRHeRa,POSRHeRa,0.9%,POSRHeRa,a2c,50,64MB,68.0034,53284.0,13492.0
